Osca id,Last name,First name,Middle name,Extension,Birthday,Age,Gender,Civil status,Religion id,Birth place,City,Barangay,Purok,Gsis id,Philhealth id,Illness,Disability,Educational attainment,Date of registration,Is active,Type
9519,VaLKZdQ,UNzrF,Omb,676,1/28/1979,62,Male,Single,Roman Catholic,AmHTaUyuRb,Koronadal,Caloocan,Purok 1,268245,1640513454,Hypertension,None,High School,12/16/2022,1,pensioner
9331,RTJMTxX,bgSth,riB,874,3/18/1972,97,Female,Widowed,Other,uyFftpeSmU,Koronadal,Avance�a (Barrio 3),Purok 1,779953,2889490757,Diabetes,Visual Impairment,College,6/7/2005,1,non-pensioner
7851,mfgdhos,pUxvw,dgf,475,9/18/1958,53,Male,Single,Roman Catholic,fhoGdEooWq,Koronadal,Carpenter Hill,Purok 1,284890,5517162544,None,Hearing Impairment,High School,2/21/2014,1,non-pensioner
2368,rDBnFNN,XxsPK,FJz,772,9/30/1987,76,Male,Single,Baptist,FkojrXtgyJ,Koronadal,Namnama,Purok 1,763534,8959526671,Hypertension,Visual Impairment,High School,12/7/2020,1,non-pensioner
1590,JTEPKsB,kpJPY,pjo,149,12/26/1972,20,Male,Divorced,Baptist,AKuLwbDlgt,Koronadal,Assumption (Bulol),Purok 1,943881,4361938728,None,None,Elementary,12/30/2020,1,non-pensioner
4374,oBCHkzU,NuyeX,tVX,502,5/29/1953,25,Male,Married,Other,yTDVbZuDdR,Koronadal,Zone 1 (Poblacion),Purok 1,921321,5956578900,None,Hearing Impairment,High School,10/15/2009,1,pensioner
2029,fHgolAQ,EfZrB,AFY,637,9/5/1957,91,Female,Divorced,Other,GWnoilSCMS,Koronadal,Santo Ni�o (Barrio 2),Purok 1,865210,7174418258,None,Hearing Impairment,Elementary,7/18/2005,1,pensioner
6801,qtujLDS,QSIJx,GPa,997,8/20/1953,32,Female,Divorced,Islam,UGQfTOHUqW,Koronadal,Concepcion (Barrio 6),Purok 1,305692,8996400415,None,Visual Impairment,Elementary,4/21/2016,1,non-pensioner
7312,iuBiLZg,TDtzd,xun,868,12/5/1989,64,Female,Divorced,Islam,cuSPRbhSOK,Koronadal,Rotonda,Purok 1,444334,6805711383,Hypertension,Visual Impairment,College,5/5/2014,1,pensioner
8278,IZBIhkC,YLIxj,rZT,626,11/3/1995,65,Male,Single,Baptist,npfLkwciTJ,Koronadal,Zone 1 (Poblacion),Purok 1,936187,8966977190,Hypertension,Hearing Impairment,College,6/9/2009,1,non-pensioner
5634,knHYtvG,moILZ,JQI,177,1/26/1961,86,Female,Divorced,Roman Catholic,uumloESupO,Koronadal,Namnama,Purok 1,281660,4076614951,Hypertension,Visual Impairment,Elementary,7/21/2013,1,pensioner
2128,qlivsnR,QZXXO,jES,647,6/29/1968,95,Female,Single,Baptist,ClFgzanPPx,Koronadal,San Jose (Barrio 5),Purok 1,779412,6755845269,None,None,High School,11/9/2008,1,pensioner
6298,mvzTQps,ktRXO,gGh,908,1/19/1998,64,Male,Widowed,Other,YloNmghpfY,Koronadal,Carpenter Hill,Purok 1,534178,7847559765,None,Visual Impairment,College,4/17/2012,1,non-pensioner
6885,fmMlbRR,YdaQx,RcN,218,1/1/1989,23,Male,Divorced,Roman Catholic,FyjPUXGXER,Koronadal,Saravia (Barrio 8),Purok 1,200573,5191137749,None,None,Elementary,7/28/2016,1,pensioner
4057,HFpEjKB,dTBYU,aiI,824,11/15/1952,82,Female,Divorced,Islam,xWcDdwGgHf,Koronadal,Zone 4 (Poblacion),Purok 1,758665,9908739756,None,Hearing Impairment,College,10/12/2008,1,pensioner
5460,OMxEMSa,rGmPZ,CXy,637,10/20/1997,97,Female,Divorced,Other,DQJhOZpMqp,Koronadal,Avanceña (Barrio 3),Purok 1,735817,5310369115,Diabetes,Visual Impairment,High School,3/27/2010,1,non-pensioner
9561,IOZdSOu,FivaM,Krw,297,7/11/1953,69,Female,Married,Roman Catholic,ugXsmrsend,Koronadal,Zone 1 (Poblacion),Purok 1,929427,6475426782,Hypertension,Hearing Impairment,College,4/7/2005,1,pensioner
9591,TRWfJwq,TXABo,ggV,316,6/11/1956,93,Female,Married,Islam,jEpvRykNmW,Koronadal,New Pangasinan (Barrio 4),Purok 1,520213,1410989991,Hypertension,None,College,8/25/2008,1,pensioner
1446,KpZlrcp,XrnrL,zRU,606,1/17/1951,73,Male,Widowed,Roman Catholic,UktpBYONWp,Koronadal,Morales,Purok 1,115252,9329575129,None,None,High School,4/14/2021,1,non-pensioner
8505,LWEOHnV,liDyd,VPP,687,12/31/1992,18,Female,Single,Islam,FqrTxqdswc,Koronadal,Assumption (Bulol),Purok 1,146297,2518095957,None,None,College,5/17/2007,1,pensioner
5285,DcTPaHw,NjFiS,SOr,463,8/18/1961,65,Male,Married,Other,odGVstTsOc,Koronadal,Avance�a (Barrio 3),Purok 1,171451,6025609341,Hypertension,None,High School,1/24/2022,1,pensioner
6537,ExwMDIo,zqhZE,hcg,279,9/8/1991,88,Male,Widowed,Baptist,JJawKZHIWu,Koronadal,Mambucal,Purok 1,722079,4055481127,Diabetes,Visual Impairment,Elementary,8/26/2007,1,non-pensioner
1162,YljUzME,zCYRR,fas,835,12/31/1957,39,Female,Widowed,Baptist,OOkgYqBZIG,Koronadal,Mabini,Purok 1,710536,8227856215,Diabetes,Visual Impairment,Elementary,3/21/2019,1,pensioner
8449,xkeJPzC,FTpjf,fvA,647,2/4/1984,42,Male,Divorced,Roman Catholic,bhwIMPaWtI,Koronadal,Caloocan,Purok 1,772574,3986898708,Diabetes,Hearing Impairment,College,1/30/2011,1,pensioner
8252,EcrvTMK,GFcBv,PNd,996,12/30/1971,93,Female,Married,Other,EliUMROIlp,Koronadal,Mambucal,Purok 1,566464,9040276678,Diabetes,None,High School,1/26/2000,1,pensioner
3562,skyHEea,pPJCY,TEZ,981,2/23/1951,27,Female,Widowed,Roman Catholic,ssBIsMUGPy,Koronadal,Rotonda,Purok 1,296365,9821704859,Diabetes,Visual Impairment,College,2/4/2020,1,non-pensioner
3169,WEqTHgH,yZqOI,GyE,272,7/22/1995,42,Male,Divorced,Islam,uMJUBEklil,Koronadal,Esperanza,Purok 1,106395,4032353115,Hypertension,Hearing Impairment,High School,1/21/2018,1,non-pensioner
6853,YJUozfu,Jrqjg,KoW,311,9/30/1978,46,Female,Widowed,Other,cxNHwApTug,Koronadal,Cacub,Purok 1,252224,5205672220,None,Hearing Impairment,College,5/9/2001,1,non-pensioner
9870,EtdrqyZ,hgOXF,ZpR,506,2/19/1972,87,Female,Married,Baptist,LCkkrmxOBB,Koronadal,Zone 4 (Poblacion),Purok 1,793114,3313122788,None,Visual Impairment,Elementary,3/15/2018,1,pensioner
6718,vxOKqwt,wnkUf,For,403,7/24/1974,61,Female,Divorced,Baptist,fkXqcefCgO,Koronadal,New Pangasinan (Barrio 4),Purok 1,944322,6613249665,None,Visual Impairment,College,7/15/2000,1,pensioner
5479,lWMzeZv,JpaSK,jTj,452,1/15/1985,68,Female,Married,Other,OOwHPvHQwy,Koronadal,Zone 4 (Poblacion),Purok 1,584503,1492336728,Diabetes,Visual Impairment,High School,11/15/2021,1,non-pensioner
3124,YHyuRBI,CHIUz,HvG,102,12/12/1977,63,Male,Widowed,Roman Catholic,HZCgUkiXmw,Koronadal,Esperanza,Purok 1,213303,9485481652,Diabetes,Visual Impairment,College,2/24/2023,1,pensioner
2818,HrzirhQ,AqZuM,SHj,142,3/11/1956,84,Male,Divorced,Roman Catholic,CwPEVKeEvV,Koronadal,Santa Cruz,Purok 1,246645,1483113343,Diabetes,Visual Impairment,Elementary,4/8/2021,1,pensioner
7258,ZFeclCJ,ELBuN,NHE,982,2/1/1991,44,Female,Single,Other,EYqVRjburG,Koronadal,Cacub,Purok 1,706550,6521809088,None,Visual Impairment,College,3/29/2011,1,pensioner
9330,MQGeJzC,UGUxn,TWy,446,12/16/1983,29,Male,Divorced,Baptist,HtIsgFmAzZ,Koronadal,Zone 3 (Poblacion),Purok 1,764724,1603305366,Diabetes,Visual Impairment,High School,3/25/2004,1,non-pensioner
9853,gUJAWds,yENfo,AAM,838,7/15/1975,37,Female,Divorced,Roman Catholic,OioJsDLDsx,Koronadal,Santo Ni�o (Barrio 2),Purok 1,586650,6317868818,Diabetes,Visual Impairment,Elementary,2/17/2003,1,pensioner
1628,JFNAnrG,iblKm,tzp,684,3/2/1979,23,Male,Single,Islam,eFwKzBBpSQ,Koronadal,General Paulino Santos (Barrio 1),Purok 1,811943,9163369444,Diabetes,None,College,4/18/2017,1,pensioner
7496,vEscqjY,EYsYN,AEk,331,10/3/1979,57,Female,Widowed,Other,xGOjwjzonh,Koronadal,Zone 3 (Poblacion),Purok 1,782822,3884569466,None,None,Elementary,7/12/2006,1,non-pensioner
8274,fDKVdtn,pvTpA,GXp,956,1/18/1989,85,Male,Widowed,Baptist,bKvFjpuEFt,Koronadal,Caloocan,Purok 1,894352,1277457429,Diabetes,Hearing Impairment,Elementary,4/28/2005,1,pensioner
9201,ECPNVqB,LPfeO,JnS,968,10/22/1961,75,Female,Widowed,Other,zUppjRkIvK,Koronadal,San Jose (Barrio 5),Purok 1,217600,4512173181,Hypertension,None,Elementary,10/3/2022,1,pensioner
5191,aNIMYDr,MLNMf,ubT,722,12/9/1973,87,Male,Single,Baptist,iweyRhhVzY,Koronadal,Zone 2 (Poblacion),Purok 1,644932,1279193425,Diabetes,Visual Impairment,High School,12/28/2022,1,non-pensioner
5050,vRmBLSP,MXRbI,zTC,122,12/23/1959,71,Male,Married,Roman Catholic,QZQgDMOdlv,Koronadal,General Paulino Santos (Barrio 1),Purok 1,602863,7234688267,Diabetes,Hearing Impairment,Elementary,4/1/2003,1,pensioner
9186,LLRWXQI,CTZMU,Utt,526,11/8/1969,83,Male,Widowed,Islam,CgLXvwUcps,Koronadal,Paraiso,Purok 1,337365,7924717350,Diabetes,Visual Impairment,High School,5/7/2009,1,non-pensioner
6276,ryKdXDG,Rvzxb,blH,102,4/14/1975,44,Male,Single,Baptist,fFhxYfErjU,Koronadal,Zone 1 (Poblacion),Purok 1,982677,5178272351,Diabetes,None,High School,8/1/2015,1,pensioner
5632,RKcYvyv,oGfaP,SpK,824,5/27/1964,55,Female,Married,Islam,PIAqarrRhj,Koronadal,Santa Cruz,Purok 1,476059,1972715483,Hypertension,Visual Impairment,Elementary,2/26/2021,1,pensioner
6067,IewBzVB,ULban,WjE,971,5/1/1998,24,Male,Divorced,Other,RzrKTqZOCe,Koronadal,Zone 1 (Poblacion),Purok 1,892068,7960267926,None,Visual Impairment,Elementary,5/14/2015,1,non-pensioner
4820,yUBmmme,WWkvX,EXg,212,7/27/1999,99,Female,Married,Baptist,GXNiLGIKkt,Koronadal,San Isidro,Purok 1,348625,9104297358,Diabetes,Visual Impairment,Elementary,2/19/2004,1,pensioner
9392,NZHdanp,HqFVP,zIG,102,5/31/1971,73,Female,Widowed,Islam,UOEvVYuVpb,Koronadal,Paraiso,Purok 1,594919,4250912623,None,Hearing Impairment,High School,6/7/2019,1,non-pensioner
8245,BCqEUoM,wvTwK,MuA,377,2/12/1959,74,Female,Married,Other,zDTfObXSYg,Koronadal,General Paulino Santos (Barrio 1),Purok 1,420927,2695648288,Hypertension,Visual Impairment,Elementary,6/22/2021,1,pensioner
2041,ILGIDfk,vSwgR,YkX,506,12/11/1983,87,Female,Divorced,Roman Catholic,Invfphhvmq,Koronadal,Zone 3 (Poblacion),Purok 1,616108,5961436573,Diabetes,None,Elementary,9/28/2014,1,non-pensioner
2583,CDToIxh,BVnjy,unz,813,9/14/1950,23,Female,Widowed,Roman Catholic,KNmOcmKUju,Koronadal,Rotonda,Purok 1,217658,5851650232,None,Visual Impairment,High School,5/1/2003,1,pensioner
9897,pEEpxNH,AmzLw,nAm,343,10/2/1954,34,Male,Widowed,Islam,QxhuofWUCu,Koronadal,Caloocan,Purok 1,613057,4696935539,Hypertension,Hearing Impairment,Elementary,6/1/2020,1,pensioner
8111,SsJOosN,aKHsv,AiU,807,4/26/1988,84,Male,Married,Other,wnRpoSymsB,Koronadal,Saravia (Barrio 8),Purok 1,825960,8696859036,Diabetes,Visual Impairment,High School,7/30/2001,1,pensioner
2745,mTWfjDp,fENKY,OoS,768,1/8/1966,43,Female,Widowed,Islam,CZvtTlRhWo,Koronadal,Paraiso,Purok 1,213748,2485190535,Hypertension,Visual Impairment,College,11/4/2018,1,non-pensioner
5866,oOWYthT,wgOww,cxm,106,8/30/1996,49,Male,Married,Other,wLFATBGkZQ,Koronadal,San Roque,Purok 1,683352,7224347210,Diabetes,Visual Impairment,High School,8/13/2018,1,pensioner
7731,ozhPhGS,XSvbG,FEq,170,8/4/1957,60,Female,Widowed,Roman Catholic,TleVABQIyS,Koronadal,Mambucal,Purok 1,966221,9991910952,Hypertension,Hearing Impairment,Elementary,9/15/2023,1,non-pensioner
5255,YGbhEdh,NCQmP,QEW,340,11/18/1953,32,Male,Divorced,Baptist,RNTHOBbvsN,Koronadal,Cacub,Purok 1,493538,3138631340,None,Hearing Impairment,Elementary,9/19/2018,1,pensioner
4462,gicNsRy,MSfAW,wgI,906,9/26/1994,34,Female,Married,Roman Catholic,kgXckEKLoR,Koronadal,Namnama,Purok 1,715766,4411863664,Hypertension,Visual Impairment,Elementary,10/22/2001,1,non-pensioner
6933,Kgesmnx,MnCGY,uWV,353,8/21/1963,82,Female,Single,Baptist,QCWUIUqcDJ,Koronadal,Assumption (Bulol),Purok 1,307119,1195975832,Diabetes,None,College,2/21/2003,1,non-pensioner
3115,bqzyROt,qfiGq,VUG,721,11/13/1971,63,Male,Divorced,Baptist,SQJyRsfaRn,Koronadal,Morales,Purok 1,277259,6349715409,None,None,College,9/15/2021,1,pensioner
8998,xDZYQVA,eHHHh,ZFs,309,5/1/1974,46,Female,Widowed,Roman Catholic,KBtAeooqwj,Koronadal,Mambucal,Purok 1,706029,7903940484,Hypertension,Visual Impairment,High School,7/23/2015,1,non-pensioner
8734,ZQtezPU,bIzLz,cPN,137,7/6/1968,36,Male,Widowed,Baptist,folnKOPdjt,Koronadal,Santo Ni�o (Barrio 2),Purok 1,215309,1296557551,Diabetes,Hearing Impairment,College,2/7/2015,1,non-pensioner
6642,vtrOMTD,Ojzhg,pVD,638,10/3/1960,66,Male,Divorced,Islam,NGYDqBYWVC,Koronadal,Zone 3 (Poblacion),Purok 1,510496,5464781108,Diabetes,Hearing Impairment,High School,4/13/2017,1,non-pensioner
2806,JjnXKjM,SspMo,ztq,133,7/15/1960,94,Female,Widowed,Other,hFRLViwhTp,Koronadal,Morales,Purok 1,242764,3001581967,Diabetes,Visual Impairment,High School,7/31/2015,1,non-pensioner
3697,aOgfyzf,ppiRh,OIa,274,11/11/1953,44,Female,Widowed,Other,YFOhgiDxdQ,Koronadal,Rotonda,Purok 1,209654,5934658074,Diabetes,Hearing Impairment,College,8/29/2021,1,pensioner
8642,ITqmLOU,sEUhR,lJE,165,10/11/1990,92,Male,Single,Islam,VvVpOIvCiv,Koronadal,Santo Ni�o (Barrio 2),Purok 1,973766,9878099813,Hypertension,Visual Impairment,High School,1/16/2004,1,non-pensioner
1081,WfQoxfU,jftGd,xXt,946,8/24/1978,62,Male,Married,Islam,cEeUpADmJV,Koronadal,Santo Ni�o (Barrio 2),Purok 1,225691,4021398530,Hypertension,Visual Impairment,College,8/10/2011,1,pensioner
9873,PmYKrpC,itqdi,ptT,541,11/4/1955,83,Female,Married,Roman Catholic,bfuZEBwTmR,Koronadal,San Isidro,Purok 1,965761,3714348402,Diabetes,None,High School,11/17/2010,1,non-pensioner
6906,LHAyzfx,onkem,yEB,821,3/18/1976,93,Male,Single,Islam,KofXzZIDaF,Koronadal,Mabini,Purok 1,751816,4272485100,Diabetes,Visual Impairment,College,12/2/2011,1,pensioner
4286,nLaJVfQ,rXgip,EeW,498,4/12/1964,46,Male,Single,Baptist,vmVLWdpqdM,Koronadal,San Jose (Barrio 5),Purok 1,299049,8549577605,Diabetes,None,High School,6/24/2005,1,pensioner
6868,CsRPprh,xAEdA,hvc,841,4/12/1959,53,Male,Divorced,Roman Catholic,rUMjOKujWk,Koronadal,Cacub,Purok 1,386813,2006217972,None,Hearing Impairment,College,11/28/2023,1,pensioner
6089,Ithlizw,FZJBp,zKt,501,2/7/1953,87,Male,Married,Other,MWeEVaORde,Koronadal,Zone 4 (Poblacion),Purok 1,148493,9961909918,Diabetes,Visual Impairment,College,8/30/2001,1,non-pensioner
1988,otdJgvC,ZebWq,DSH,382,7/13/1999,45,Male,Divorced,Baptist,qPpjCNFUwF,Koronadal,Cacub,Purok 1,182150,1930970582,Diabetes,Visual Impairment,Elementary,8/5/2008,1,non-pensioner
4335,OGeLJyL,WtvXS,QnM,390,5/30/1962,39,Male,Married,Roman Catholic,VTvJtKYpRK,Koronadal,Zone 2 (Poblacion),Purok 1,149423,7146317560,Diabetes,Visual Impairment,High School,3/22/2007,1,non-pensioner
7886,jQOnrDO,ysURC,wvl,747,11/9/1994,73,Male,Single,Baptist,ilWKYpEdRw,Koronadal,Saravia (Barrio 8),Purok 1,482241,5368225441,None,Visual Impairment,Elementary,11/19/2018,1,non-pensioner
2311,LQbIXcB,JbhuA,soC,579,10/6/1969,42,Female,Widowed,Islam,vLaZwcofzg,Koronadal,Mambucal,Purok 1,511113,2726139451,Hypertension,None,High School,3/27/2018,1,pensioner
7407,KsLtrBX,LfGfN,Crs,769,2/19/1963,28,Male,Widowed,Other,jyNBgmyTEY,Koronadal,Carpenter Hill,Purok 1,848447,2362220032,None,Visual Impairment,High School,6/19/2022,1,non-pensioner
2133,UndagUF,ubMMe,Giy,598,1/1/1976,24,Female,Widowed,Islam,ldMzwkLuPU,Koronadal,Magsaysay,Purok 1,708647,3268235569,Diabetes,Hearing Impairment,High School,6/7/2010,1,pensioner
2000,yWyGKPH,tPfTF,HpF,560,11/19/1969,46,Female,Single,Baptist,UBGAMbFpOs,Koronadal,Caloocan,Purok 1,329985,9482051489,Hypertension,Hearing Impairment,High School,12/16/2001,1,pensioner
